"Hierarchy Level","Page Type","Page Path","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6","Toggle URL",hasBenefitCategory,"Page Language",Categories
1,"Home Page",/,1,"Making government services easier to find",https://www.usa.gov/,Home,Home,Home,Home,Home,Home,/,/,/,/,/,/,https://www.usa.gov/es/,,"USAGov English"
1,"Home Page",/es/,1,"Información del Gobierno de Estados Unidos a su alcance",https://www.usa.gov/es/,"Página principal","Página principal","Página principal","Página principal","Página principal","Página principal",/es/,/es/,/es/,/es/,/es/,/es/,https://www.usa.gov/,,"USAGov en Español"
3,"Content Page",/elected-officials,2,"Find and contact elected officials",https://www.usa.gov/elected-officials,Home,"The U.S. and its government","Elected officials","Elected officials","Elected officials","Elected officials",/,/about-the-us,/elected-officials,/elected-officials,/elected-officials,/elected-officials,https://www.usa.gov/es/funcionarios-electos,,"USAGov English"
4,"Content Page",/elected-officials-results,3,"Your elected officials",https://www.usa.gov/elected-officials-results,Home,"The U.S. and its government","Elected officials","Learn about your elected officials","Learn about your elected officials","Learn about your elected officials",/,/about-the-us,/elected-officials,/elected-officials-results,/elected-officials-results,/elected-officials-results,None,,"USAGov English"
4,"Content Page",/elected-officials-email,4,"Email your elected official",https://www.usa.gov/elected-officials-email,Home,"The U.S. and its government","Elected officials","Email your elected official","Email your elected official","Email your elected official",/,/about-the-us,/elected-officials,/elected-officials-email,/elected-officials-email,/elected-officials-email,None,,"USAGov English"
2,"Navigation Cards Page",/laws-and-legal-issues,13,"Laws and legal issues",https://www.usa.gov/laws-and-legal-issues,Home,"Laws and legal issues","Laws and legal issues","Laws and legal issues","Laws and legal issues","Laws and legal issues",/,/laws-and-legal-issues,/laws-and-legal-issues,/laws-and-legal-issues,/laws-and-legal-issues,/laws-and-legal-issues,https://www.usa.gov/es/leyes-y-asuntos-legales,,"USAGov English"
3,"Navigation Page",/request-documents,14,"Get copies of vital records and ID cards",https://www.usa.gov/request-documents,Home,"Laws and legal issues","Request copies of vital records and ID cards","Request copies of vital records and ID cards","Request copies of vital records and ID cards","Request copies of vital records and ID cards",/,/laws-and-legal-issues,/request-documents,/request-documents,/request-documents,/request-documents,https://www.usa.gov/es/certificado-del-registro,,"USAGov English"
4,"Content Page",/replace-vital-documents,15,"How to replace lost or stolen ID cards",https://www.usa.gov/replace-vital-documents,Home,"Laws and legal issues","Request copies of vital records and ID cards","Replace lost or stolen ID cards","Replace lost or stolen ID cards","Replace lost or stolen ID cards",/,/laws-and-legal-issues,/request-documents,/replace-vital-documents,/replace-vital-documents,/replace-vital-documents,https://www.usa.gov/es/reemplazo-documentos-personales,,"USAGov English"
4,"Content Page",/marriage-certificate,16,"How to get a copy of a marriage certificate or a marriage license",https://www.usa.gov/marriage-certificate,Home,"Laws and legal issues","Request copies of vital records and ID cards","Marriage license or certificate","Marriage license or certificate","Marriage license or certificate",/,/laws-and-legal-issues,/request-documents,/marriage-certificate,/marriage-certificate,/marriage-certificate,https://www.usa.gov/es/certificado-matrimonio,,"USAGov English"
3,"Content Page",/legal-aid,18,"Find a lawyer for affordable legal aid",https://www.usa.gov/legal-aid,Home,"Laws and legal issues","Find a lawyer and affordable legal aid","Find a lawyer and affordable legal aid","Find a lawyer and affordable legal aid","Find a lawyer and affordable legal aid",/,/laws-and-legal-issues,/legal-aid,/legal-aid,/legal-aid,/legal-aid,https://www.usa.gov/es/asistencia-legal-gratis,,"USAGov English"
4,"Content Page",/es/reportar-una-muerte,25,"Cómo reportar la muerte de alguien y cerrar sus cuentas y beneficios",https://www.usa.gov/es/reportar-una-muerte,"Página principal","Leyes y asuntos legales","Asuntos legales familiares","Notificar la muerte de alguien y cerrar sus cuentas","Notificar la muerte de alguien y cerrar sus cuentas","Notificar la muerte de alguien y cerrar sus cuentas",/es/,/es/leyes-y-asuntos-legales,/es/tramites-documentos-personales,/es/reportar-una-muerte,/es/reportar-una-muerte,/es/reportar-una-muerte,https://www.usa.gov/report-a-death,,"USAGov en Español"
